,Case_Number,date_cn,Type,Activity,Country,Area,Location,Sex,Age,Injury,Fatal_(Y/N),Time,Species,original_order
0,2016.09.18.c,2016-09-18,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,16.0,Minor injury to thigh,N,13h00,,5993
1,2016.09.18.b,2016-09-18,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,36.0,Lacerations to hands,N,11h00,,5992
2,2016.09.18.a,2016-09-18,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,43.0,Lacerations to lower leg,N,10h43,,5991
3,2016.09.17,2016-09-17,UNPROVOKED,SURFING,AUSTRALIA,Victoria,Thirteenth Beach,M,,Struck by fin on chest & leg,N,,,5990
4,2016.09.15,2016-09-15,UNPROVOKED,SURFING,AUSTRALIA,Victoria,Bells Beach,M,,No injury: Knocked off board by shark,N,,2 M SHARK,5989
5,2016.09.15.R,2016-09-15,BOATING,FISHING,AUSTRALIA,Western Australia,Bunbury,,,Shark rammed boat. No injury to occupant,N,,,5988
6,2016.09.11,2016-09-11,UNPROVOKED,WADING,USA,Florida,"Ponte Vedra, St. Johns County",M,,Minor injury to arm,N,15h15,3' TO 4' SHARK,5987
7,2016.09.07,2016-09-07,UNPROVOKED,SWIMMING,USA,Hawaii,"Makaha, Oahu",F,51.0,Severe lacerations to shoulder & forearm,N,14h30,"TIGER SHARK, 10?",5986
8,2016.09.06,2016-09-06,UNPROVOKED,KITE SURFING,NEW CALEDONIA,North Province,Koumac,M,50.0,FATAL,Y,15h40,,5985
9,2016.09.05.b,2016-09-05,UNPROVOKED,BOOGIE BOARDING,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",F,12.0,Lacerations & punctures to lower right leg,N,Late afternoon,,5984
10,2016.09.05.a,2016-09-05,UNPROVOKED,SURFING,AUSTRALIA,Western Australia,Injidup ,M,,"No inury, board broken in half by shark",N,Late afternoon,,5983
11,2016.09.04,2016-09-04,UNPROVOKED,BODY BOARDING,USA,Florida,"New Smyrna Beach, Volusia County",M,9.0,Foot bitten,N,,,5982
12,2016.09.01,2016-09-01,UNPROVOKED,SPEARFISHING,USA,California,"Refugio State Beach, Santa Barbara County",M,22.0,Two toes broken & lacerated,N,,WHITE SHARK,5981
13,2016.08.29.b,2016-08-29,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,25.0,Lacerations to right foot,N,15h00,"BULL SHARK, 6'",5980
14,2016.08.29.a,2016-08-29,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,37.0,Minor injury to ankle,N,14h00,,5979
15,2016.08.27,2016-08-27,UNPROVOKED,SURFING,REUNION,,Boucan Canot,M,20.0,"Right arm severed, ankle severely bitten ",N,17h00,"BULL SHARK, 3.5 M",5978
16,2016.08.25,2016-08-25,UNPROVOKED,WADING,USA,Florida,"Ponte Vedra, St. Johns County",M,49.0,Minor injury to ankle,N,16h00,,5977
17,2016.08.07,2016-08-07,UNPROVOKED,SNORKELING,BAHAMAS,New Providence Island,Nassau,M,15.0,Lacerations to left leg,N,,,5976
18,2016.08.06,2016-08-06,UNPROVOKED,SUP FOIL BOARDING,USA,Hawaii,Maui,M,21.0,"No inury, shark & board collided",N,,"TIGER SHARK, 10'",5975
19,2016.08.04,2016-08-04,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,22.0,Big toe bitten,N,,BLACKTIP SHARK,5974
20,2016.07.29,2016-07-29,UNPROVOKED,SWIMMING,SPAIN,Alicante Province,Arenales del Sol,M,40.0,Lacerations to right hand,N,11h30,BLUE SHARK,5973
21,2016.07.28.R,2016-07-28,UNPROVOKED,SWIMMING,CHINA,Hong Kong,,M,72.0,Lacerations to leg,N,,,5972
22,2016.07.28,2016-07-28,BOATING,KAYAKING,AUSTRALIA,Western Australia,Near Albany,M,,"No injury, shark nudged kayak repeatedly",N,,WHITE SHARK,5971
23,2016.07.27,2016-07-27,PROVOKED,LOBSTERING,USA,Florida,"Florida Keys, Monroe County",M,43.0,Laceration to left forearm PROVOKED INCIDENT,N,,"NURSE SHARK, 4'",5970
24,2016.07.26,2016-07-26,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",M,18.0,"No injury. Leg rope severed, knocked off board by shark",N,12h00,,5969
25,2016.07.24,2016-07-24,UNPROVOKED,SURFING,JAPAN,Kochi Prefecture,Irino Beach,M,29.0,Lacerations to left leg,N,19h05,,5968
26,2016.07.23.b,2016-07-23,UNPROVOKED,SURFING,AUSTRALIA,Tasmania,Clifton Beach,M,36.0,Calf bumped but no injury,N,,,5967
27,2016.07.23.a,2016-07-23,UNPROVOKED,SPEARFISHING,BAHAMAS,Abaco Islands,Green Turtle Cay,M,,Lacerations to face and right leg,N,,"BULL SHARK, 6'",5966
28,2016.07.20,2016-07-20,PROVOKED,FISHING,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",M,31.0,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,After noon,"REEF SHARK, 1M",5965
29,2016.07.17,2016-07-17,BOATING,FISHING IN ALABAMA DEEP FISHING RODEO,USA,Alabama,8 miles off Mobile,,,"No injury, shark bit trolling motor",N,,"TIGER SHARK, 10'",5964
30,2016.07.16.b,2016-07-16,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",F,9.0,Minor injury to leg,N,1300,,5963
31,2016.07.16.a,2016-07-16,UNPROVOKED,,USA,Florida,"New Smyrna Beach, Volusia County",F,11.0,Minor injury to toes,N,11h00,,5962
32,2016.07.15,2016-07-15,UNPROVOKED,SWIMMING,USA,South Carolina,"North Myrtle Beach, Horry County",M,,Puncture wounds to foot,N,,,5961
33,2016.07.14.4,2016-07-14,UNPROVOKED,SCUBA DIVING,BAHAMAS,,Tiger Beach,M,,Face bruised when partly blind shark collided with him,N,,"LEMON SHARK, 9'",5960
34,2016.07.08.R,2016-07-08,UNPROVOKED,WADING,SPAIN,Canary Islands,"Las Teresitas, Tenerife",F,10.0,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,,ANGEL SHARK,5959
35,2016.07.08,2016-07-08,BOATING,FISHING FOR SQUID,USA,California,"Capitola, Santa Cruz County",M,,"No injury. Hull bitten, tooth fragment recovered",N,,WHITE SHARK,5958
36,2016.07.07.b,2016-07-07,PROVOKED,FISHING,USA,Massachusetts,"Off Gloucester, Essec County",M,59.0,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,10h00,DOGFISH SHARK,5957
37,2016.07.07.a,2016-07-07,BOATING,FISHING FOR SHARKS,USA,California,"Off Palos Verdes peninsula, Los Angeles County",M,,"No injury. Hull bitten, tooth fragment recovered",N,,WHITE SHARK,5956
38,2016.07.06,2016-07-06,UNPROVOKED,SWIMMING,USA,Florida,"Melbourne Beach, Brevard County",F,42.0,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30,,5955
39,2016.07.04,2016-07-04,PROVOKED,FISHING,AUSTRALIA,Queensland,Palm Cove ,M,34.0,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,TAWNY NURSE SHARK,5954
40,2016.06.27,2016-06-27,UNPROVOKED,,USA,South Carolina,Sullivan's Island,M,35.0,Minor injury,N,16h20,3' TO 4' SHARK,5953
41,2016.06.25,2016-06-25,UNPROVOKED,SURFING,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",M,11.0,Foot injured,N,14h34,,5952
42,2016.06.24,2016-06-24,UNPROVOKED,SCUBA DIVING,COLUMBIA,Isla Provedencia,,M,59.0,Severe bite to right hand,N,11h00,"CARIBBEAN REEF SHARK, 4.5'",5951
43,2016.06.23,2016-06-23,UNPROVOKED,SPEARFISHING,SOUTH AFRICA,Western Cape Province,Ryspunt,M,43.0,Injuries to left leg & right hand,N,,WHITE SHARK,5950
44,2016.06.21.b,2016-06-21,UNPROVOKED,FLOATING,USA,South Carolina,"North Myrtle Beach, Horry County",M,42.0,Lacerations and punctures to foot,N,15h25,3' TO 5' SHARK,5949
45,2016.06.21.a,2016-06-21,UNPROVOKED,WADING,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",M,,Injuries to right calf,N,14h55,,5948
46,2016.06.15.b,2016-06-15,UNPROVOKED,SURFING,USA,Hawaii,"Kalapaki Beach, Kauai",M,,Single puncture wound to arm,N,06h00,3' TO 4' SHARK,5947
47,2016.06.15.a,2016-06-15,PROVOKED,SPEARFISHING,AUSTRALIA,Western Australia,Coral Bay,M,19.0,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,,5' SHARK,5946
48,2016.06.14,2016-06-14,UNPROVOKED,FLOATING IN TUBE,USA,Texas,"Pirates Beach, Galveston",F,6.0,Injury to lower leg,N,17h30,3' TO 4' SHARK,5945
49,2016.06.11,2016-06-11,UNPROVOKED,STANDING,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",M,19.0,Laceration to wrist,N,15h00,3' SHARK,5944
50,2016.06.07,2016-06-07,INVALID,SURFING,USA,South Carolina,"Folly Beach, Charleston County",M,27.0,"No injury, board damaged",N,11h30,SAID TO INVOLVE AN 8' SHARK BUT MORE LIKELY DAMAGE CAUSED BY DEBRIS,5943
51,2016.06.05.b,2016-06-05,UNPROVOKED,SWIMMING,USA,Florida,"Flagler Beach, Flagler County",M,64.0,Leg bitten,N,08h30,,5942
52,2016.06.05.a,2016-06-05,UNPROVOKED,DIVING,AUSTRALIA,Western Australia,Mindarie,F,60.0,FATAL,Y,11h30,3+ M SHARK,5941
53,2016.06.04,2016-06-04,UNPROVOKED,SWIMMING,EGYPT,Suez,Ain Sokhna,M,23.0,"Leg severely bitten, surgically amputated",N,Morning,MAKO SHARK,5940
